,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_year,arrival_month,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,Total_Amount,Stay_Duration,Revenue,Month_Number,Customer_Ratings,Cancel_Probability,Predicted_Revenue
count,36275.0,36275.0,36275.0,36275.0,36275.0,36275.0,36275.0,36275.0,36275.0,36275.0,36275.0,36275.0,36275.0,36275.0,36275.0,36275.0,36275.0,36275.0,36275.0,36275.0
mean,1.8449620951068229,0.10527911784975878,0.810723638869745,2.2043004824259134,0.0309855272226051,85.23255685733976,2017.8204272915232,7.423652653342522,0.02563749138525155,0.023349414197105445,0.15341144038594073,103.41375603032391,0.6196554100620262,312.77990351481736,1.9404548587181254,312.77990351481736,7.423652653342522,1.619434872501723,0.6719210927722391,312.1836446997266
std,0.51871483790129,0.402648063589278,0.8706436147600002,1.4109048548240168,0.17328084736891503,85.93081669923258,0.3838364395590785,3.0698944112257687,0.15805346903513287,0.3683314479197876,1.7541707114426388,35.08538444695008,0.7862358983956064,217.4368365251969,1.906085981086435,217.4368365251969,3.0698944112257687,0.7851466542287413,0.40045816154572045,105.44462435860987
min,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-20.65079166374032
25%,2.0,0.0,0.0,1.0,0.0,17.0,2018.0,5.0,0.0,0.0,0.0,80.0,0.0,176.0,0.0,176.0,5.0,1.0,0.25,242.4502693328568
50%,2.0,0.0,1.0,2.0,0.0,57.0,2018.0,8.0,0.0,0.0,0.0,99.0,0.0,270.0,2.0,270.0,8.0,1.0,0.9249999999999998,304.99639427247075
75%,2.0,0.0,2.0,3.0,0.0,126.0,2018.0,10.0,0.0,0.0,0.0,120.0,1.0,393.0,3.0,393.0,10.0,2.0,1.0,373.23716921900825
max,4.0,10.0,7.0,17.0,1.0,443.0,2018.0,12.0,1.0,13.0,58.0,540.0,5.0,3910.0,23.0,3910.0,12.0,5.0,1.0,1538.4205481537256
